# Thermal History - 10 Monitoring Points
# Columns: time(s)  T1..T10 (K)
# Point physical coordinates:
#  P 1:  x= 4.000E-04m  y= 1.000E-03m  z= 6.950E-04m
#  P 2:  x= 1.000E-03m  y= 1.000E-03m  z= 6.950E-04m
#  P 3:  x= 1.600E-03m  y= 1.000E-03m  z= 6.950E-04m
#  P 4:  x= 1.000E-03m  y= 1.000E-03m  z= 6.600E-04m
#  P 5:  x= 1.000E-03m  y= 1.000E-03m  z= 6.000E-04m
#  P 6:  x= 1.000E-03m  y= 1.050E-03m  z= 6.950E-04m
#  P 7:  x= 1.000E-03m  y= 1.200E-03m  z= 6.950E-04m
#  P 8:  x= 1.000E-03m  y= 1.500E-03m  z= 6.950E-04m
#  P 9:  x= 1.000E-03m  y= 1.800E-03m  z= 6.950E-04m
#  P10:  x= 1.000E-03m  y= 1.000E-03m  z= 2.000E-04m
#  time(s)    T 1(K)       T 2(K)       T 3(K)       T 4(K)       T 5(K)       T 6(K)       T 7(K)       T 8(K)       T 9(K)       T10(K)       
 2.10000E-05     293.000     293.000     293.000     292.997     292.997     293.000     293.000     293.000     293.000     293.000
 4.10000E-05     293.000     292.998     293.000     292.985     292.984     292.998     292.998     292.998     292.998     293.000
 6.10000E-05     293.000     292.996     293.000     292.968     292.967     292.996     292.996     292.996     292.996     292.999
 8.10000E-05     293.000     292.996     293.000     292.969     292.966     292.996     292.996     292.996     292.996     292.999
 1.01000E-04     293.000     292.996     293.000     292.976     292.974     292.996     292.996     292.996     292.996     292.999
 1.21000E-04     293.000     292.996     293.000     292.971     292.969     292.996     292.996     292.996     292.996     292.999
 1.41000E-04     293.000     292.995     293.000     292.967     292.964     292.995     292.995     292.995     292.995     292.999
 1.61000E-04     293.000     292.995     293.000     292.964     292.959     292.995     292.995     292.995     292.995     292.999
 1.81000E-04     293.000     292.994     293.000     292.960     292.955     292.994     292.994     292.994     292.994     292.999
 2.01000E-04     293.000     292.994     293.000     292.959     292.954     292.994     292.994     292.994     292.994     292.999
 2.21000E-04     293.000     292.993     293.000     292.957     292.952     292.993     292.993     292.993     292.993     292.999
 2.41000E-04     293.000     292.993     293.000     292.955     292.949     292.993     292.993     292.993     292.993     292.999
 2.61000E-04     293.000     292.992     293.000     292.953     292.947     292.992     292.992     292.992     292.992     292.999
 2.81000E-04     293.000     292.992     293.000     292.952     292.945     292.992     292.992     292.992     292.992     292.999
 3.01000E-04     293.000     292.991     293.000     292.950     292.943     292.991     292.991     292.991     292.991     292.999
 3.21000E-04     293.000     292.991     293.000     292.949     292.942     292.991     292.991     292.991     292.991     292.999
 3.41000E-04     293.000     292.990     293.000     292.948     292.941     292.990     292.990     292.990     292.990     292.999
 3.61000E-04     293.000     292.990     293.000     292.947     292.940     292.990     292.990     292.990     292.990     292.999
 3.81000E-04     293.000     292.989     293.000     292.946     292.938     292.989     292.989     292.989     292.989     292.999
 4.01000E-04     293.000     292.988     293.000     292.945     292.937     292.988     292.989     292.989     292.989     292.999
 4.21000E-04     293.000     292.988     293.000     292.944     292.936     292.988     292.988     292.988     292.988     292.999
 4.41000E-04     293.000     292.987     293.000     292.943     292.936     292.987     292.987     292.987     292.987     292.999
 4.61000E-04     293.000     292.987     293.000     292.942     292.935     292.987     292.987     292.987     292.987     292.999
 4.81000E-04     293.000     292.986     293.000     292.941     292.934     292.986     292.986     292.986     292.986     292.999
 5.01000E-04     293.000     292.985     293.000     292.940     292.933     292.985     292.986     292.986     292.986     292.999
 5.21000E-04     293.000     292.985     293.000     292.939     292.932     292.985     292.985     292.985     292.985     292.999
 5.41000E-04     293.000     292.984     293.000     292.938     292.931     292.984     292.984     292.984     292.984     292.999
 5.61000E-04     293.000     292.984     293.000     292.938     292.931     292.984     292.984     292.984     292.984     292.999
 5.81000E-04     293.000     292.983     293.000     292.937     292.930     292.983     292.983     292.983     292.983     292.999
 6.01000E-04     293.000     292.982     293.000     292.935     292.928     292.982     292.982     292.982     292.982     292.999
 6.21000E-04     293.000     292.982     293.000     292.936     292.929     292.982     292.982     292.982     292.982     292.999
 6.41000E-04     293.000     292.981     293.000     292.936     292.930     292.981     292.981     292.981     292.981     292.999
 6.61000E-04     293.000     292.980     293.000     292.937     292.931     292.980     292.981     292.981     292.981     292.999
 6.81000E-04     293.000     292.980     293.000     292.937     292.931     292.980     292.980     292.980     292.980     292.999
 7.01000E-04     293.000     292.978     293.000     292.925     292.919     292.978     292.978     292.978     292.978     292.999
 7.21000E-04     293.000     292.977     293.000     292.918     292.912     292.977     292.977     292.977     292.977     292.999
