# Thermal History - 10 Monitoring Points
# Columns: time(s)  T1..T10 (K)
# Point physical coordinates:
#  P 1:  x= 4.000E-04m  y= 1.000E-03m  z= 6.950E-04m
#  P 2:  x= 1.000E-03m  y= 1.000E-03m  z= 6.950E-04m
#  P 3:  x= 1.600E-03m  y= 1.000E-03m  z= 6.950E-04m
#  P 4:  x= 1.000E-03m  y= 1.000E-03m  z= 6.600E-04m
#  P 5:  x= 1.000E-03m  y= 1.000E-03m  z= 6.000E-04m
#  P 6:  x= 1.000E-03m  y= 1.050E-03m  z= 6.950E-04m
#  P 7:  x= 1.000E-03m  y= 1.200E-03m  z= 6.950E-04m
#  P 8:  x= 1.000E-03m  y= 1.500E-03m  z= 6.950E-04m
#  P 9:  x= 1.000E-03m  y= 1.800E-03m  z= 6.950E-04m
#  P10:  x= 1.000E-03m  y= 1.000E-03m  z= 2.000E-04m
#  time(s)    T 1(K)       T 2(K)       T 3(K)       T 4(K)       T 5(K)       T 6(K)       T 7(K)       T 8(K)       T 9(K)       T10(K)       
 2.10000E-05     293.000     293.000     293.000     292.999     292.999     293.000     293.000     293.000     293.000     293.000
 4.10000E-05     293.000     293.000     293.000     293.000     293.000     293.000     293.000     293.000     293.000     293.000
 6.10000E-05     293.000     292.999     293.000     293.002     293.005     292.999     292.999     292.999     292.999     293.000
 8.10000E-05     293.000     293.001     293.000     293.021     293.026     293.001     293.001     293.001     293.001     293.000
 1.01000E-04     293.000     293.002     293.000     293.034     293.042     293.002     293.002     293.002     293.002     293.000
 1.21000E-04     293.000     293.003     293.000     293.048     293.060     293.003     293.003     293.003     293.003     293.000
 1.41000E-04     293.000     293.004     293.000     293.066     293.081     293.004     293.004     293.004     293.004     293.001
 1.61000E-04     293.000     293.004     293.000     293.064     293.079     293.004     293.004     293.004     293.004     293.001
 1.81000E-04     293.000     293.004     293.000     293.061     293.075     293.004     293.004     293.004     293.004     293.000
 2.01000E-04     293.000     293.004     293.000     293.061     293.076     293.004     293.004     293.004     293.004     293.001
 2.21000E-04     293.000     293.004     293.000     293.062     293.075     293.004     293.004     293.004     293.004     293.001
